id,type,pollster,date,sampleSize,marginError,link,spread_winner,spread_value,right_direction_value,wrong_track_value,name,slug,polling_start_date,polling_end_date
148881,poll_rcp_avg,Ipsos,11/1 - 11/3,1242 A,0.0,https://www.ipsos.com/sites/default/files/ct/news/documents/2024-11/Ipsos%20Core%20Political%2011%2004%202024%20PDF_1.pdf,Wrong Track,-47.0,17,64,Direction of Country,country_direction,2024-11-01,2024-11-03
148825,poll_rcp_avg,Forbes/HarrisX,10/30 - 11/2,3759 LV,0.0,https://elections.harrisx.com/public/HX_Forbes_Poll_Nov_2_24_3Day.html,Wrong Track,-39.0,25,64,Direction of Country,country_direction,2024-10-30,2024-11-02
148713,poll_rcp_avg,NBC News,10/30 - 11/2,1000 RV,3.0,https://www.nbcnews.com/politics/2024-election/final-nbc-news-poll-harris-trump-race-neck-neck-significant-gender-gap-rcna178361,Wrong Track,-39.0,27,66,Direction of Country,country_direction,2024-10-30,2024-11-02
148893,poll,ABC News/Ipsos,10/29 - 11/1,2267 LV,0.0,https://www.langerresearch.com/wp-content/uploads/1239a1TheFinalWeekend.pdf,Wrong Track,-48.0,26,74,Direction of Country,country_direction,2024-10-29,2024-11-01
148739,poll_rcp_avg,Yahoo News,10/29 - 10/31,1075 LV,0.0,https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,Wrong Track,-33.0,29,62,Direction of Country,country_direction,2024-10-29,2024-10-31
148819,poll_rcp_avg,Rasmussen Reports,10/27 - 10/31,3049 LV,0.0,https://www.rasmussenreports.com/public_content/politics/mood_of_america/right_direction_wrong_track_nov04,Wrong Track,-26.0,34,60,Direction of Country,country_direction,2024-10-27,2024-10-31
148571,poll,Forbes/HarrisX,10/27 - 10/29,3718 LV,1.5,https://www.forbes.com/sites/joewalsh/2024/10/31/new-harrisxforbes-poll-harris-leads-trump-by-just-1-point-a-statistical-tie-as-10-still-unsure/,Wrong Track,-38.0,25,63,Direction of Country,country_direction,2024-10-27,2024-10-29
148459,poll_rcp_avg,Economist/YouGov,10/26 - 10/29,1312 LV,0.0,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_NgtZTja.pdf,Wrong Track,-35.0,29,64,Direction of Country,country_direction,2024-10-26,2024-10-29
148475,poll,Reuters/Ipsos,10/25 - 10/27,1150 A,0.0,https://www.ipsos.com/sites/default/files/ct/news/documents/2024-10/Late-October%20Core%20Political%20Topline%20FINAL%20PDF%2010.29.24.pdf,Wrong Track,-54.0,13,67,Direction of Country,country_direction,2024-10-25,2024-10-27
148371,poll,Rasmussen Reports,10/20 - 10/24,3928 LV,2.5,https://www.rasmussenreports.com/public_content/politics/mood_of_america/right_direction_wrong_track_oct28,Wrong Track,-25.0,35,60,Direction of Country,country_direction,2024-10-20,2024-10-24
148305,poll_rcp_avg,NY Times/Siena,10/20 - 10/23,2516 LV,0.0,https://www.nytimes.com/2024/10/25/us/politics/poll-harris-trump-times-siena.html,Wrong Track,-33.0,28,61,Direction of Country,country_direction,2024-10-20,2024-10-23
148278,poll_rcp_avg,Wall Street Journal,10/19 - 10/22,1500 RV,2.5,https://www.msn.com/en-us/news/politics/trump-takes-narrow-lead-over-harris-in-closing-weeks-of-race/ar-AA1sOqEU,Wrong Track,-38.0,26,64,Direction of Country,country_direction,2024-10-19,2024-10-22
148212,poll,Economist/YouGov,10/19 - 10/22,1295 LV,0.0,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_O3e18LR.pdf,Wrong Track,-39.0,26,65,Direction of Country,country_direction,2024-10-19,2024-10-22
148230,poll,Forbes/HarrisX,10/20 - 10/21,1244 LV,0.0,https://www.forbes.com/sites/saradorn/2024/10/23/trump-vs-harris-2024-polls-harris-leads-by-2-points-in-latest-survey/,Wrong Track,-39.0,26,65,Direction of Country,country_direction,2024-10-20,2024-10-21
148319,poll_rcp_avg,USA Today/Suffolk,10/14 - 10/18,1000 LV,0.0,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2024/10_25_2024_complete_national_marginals.pdf?la=en&amp;hash=5F11AAE887D75AACE17DF8B37DBAF3518CBB99F1,Wrong Track,-33.0,28,61,Direction of Country,country_direction,2024-10-14,2024-10-18
148166,poll,Rasmussen Reports,10/13 - 10/17,3163 LV,2.5,https://www.rasmussenreports.com/public_content/politics/mood_of_america/right_direction_wrong_track_oct21,Wrong Track,-27.0,34,61,Direction of Country,country_direction,2024-10-13,2024-10-17
148020,poll,Economist/YouGov,10/12 - 10/15,1317 LV,0.0,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,Wrong Track,-33.0,30,63,Direction of Country,country_direction,2024-10-12,2024-10-15
147943,poll,Harvard-Harris,10/11 - 10/13,3145 RV,0.0,https://harvardharrispoll.com/key-results-october-5/,Wrong Track,-29.0,31,60,Direction of Country,country_direction,2024-10-11,2024-10-13
148067,poll,Reuters/Ipsos,10/11 - 10/13,938 A,0.0,https://www.ipsos.com/sites/default/files/Reuters%20Ipsos%20Core%20Political%2010%2016%202024%20PDF.pdf,Wrong Track,-45.0,18,63,Direction of Country,country_direction,2024-10-11,2024-10-13
